Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
39,46,32,33,4.33
39,47,31,32,3.86
46,51,41,35,9.73
45,52,38,32,6.86
34,38,29,19,7.8
38,44,31,9,8.7
30,36,24,9,16.46
22,32,9,2,3.1
34,36,31,20,9.1
38,43,33,9,9.76
31,39,23,14,17.9
14,30,4,2,2.2
27,34,19,14,8.23
39,42,35,9,11.26
40,42,37,9,19.76
36,40,31,10,9.23
34,37,30,6,11.2
37,41,33,15,6.16
39,42,35,10,18.83
40,42,36,11,21.8
27,33,20,11,11.76
30,39,20,15,3.7
29,32,25,6,12.86
0,8,-9,20,0.36
37,42,32,8,10.5
60,60,60,18,1.83
60,60,60,0,0
60,60,60,0,0
43,46,39,19,11.26
38,42,33,14,5.2
32,35,29,22,9.03
32,39,23,2,4.93
21,29,13,8,3.83
6,9,2,6,13.76
36,40,32,11,5.93
41,57,24,6,4.2
40,54,25,4,4.2
58,69,45,13,5.8
56,69,43,12,12.93
29,42,15,27,2.7
39,51,27,27,5.16
38,48,27,29,7.4
42,49,34,0,0
47,60,33,34,2.2
27,42,12,32,3.06
35,49,21,21,1.56
44,51,37,6,4.06
44,53,33,0,0
46,55,36,25,0.86
47,53,41,6,6.56
54,65,43,24,2.13
55,63,45,15,2.76
44,50,36,33,7.73
45,51,38,34,6.16
44,52,34,34,3.63
49,57,41,8,6.46
55,64,45,24,1.83
46,51,41,10,4.43
39,44,33,8,18.8
51,62,39,12,4.9
51,63,37,21,3.86
42,51,33,26,1.86
14,33,-5,32,1.4
28,45,9,15,3.13
-10,3,-23,12,0.4
27,40,12,20,7.2
14,24,4,8,4.46
26,47,4,27,1.93
38,43,32,27,8.86
34,40,27,24,6.2
37,46,27,28,6.43
37,46,27,28,6.43
63,68,58,32,6.23
76,82,70,28,5.16
56,62,51,33,4.6
56,61,50,31,4.83
79,82,74,17,4.53
76,82,70,17,3.33
65,72,57,31,6.93
48,52,44,35,9.33
53,57,48,34,6.16
66,71,59,8,5.73
69,74,62,28,6.9
74,80,67,27,6.83
51,58,47,32,5.06
45,54,36,29,5.1
42,48,36,31,10.93
48,56,41,31,3.06
47,53,40,31,5.46
56,62,49,31,5
73,81,65,20,3.33
73,81,64,24,5.13
71,80,60,3,8.4
72,79,64,14,8.86
70,79,60,23,6.06
15,23,7,16,3
21,29,12,9,2.56
8,21,-4,2,2.66
25,30,20,28,12.16
25,31,19,28,10.9
29,35,22,28,8.2
29,35,22,28,10.53
24,30,18,28,9.73
31,37,24,27,9.96
35,43,27,27,6.06
29,31,25,26,13.2
29,34,24,26,10.73
27,30,23,26,11.83
22,28,15,28,11.46
24,32,16,30,10
21,27,14,28,11.86
21,31,11,30,8.63
22,29,13,28,11.06
31,43,18,29,8.96
31,46,16,31,8.36
30,46,13,28,8.1
34,49,19,32,4.9
32,43,22,29,5.96
33,45,21,29,5.96
33,39,27,26,7.73
37,45,28,24,2.93
35,42,27,25,7.93
38,45,31,27,6.7
36,47,25,27,5.6
47,53,40,23,3.43
47,52,43,12,8.33
50,54,46,13,11.93
46,53,39,21,5.36
47,53,42,23,6.66
29,35,22,24,4.6
23,29,17,25,5.66
34,39,28,24,7.53
37,48,26,27,5.36
38,48,28,27,3.46
37,41,31,25,11.83
60,60,60,25,11.6
31,35,26,25,11.56
27,32,21,26,8.96
32,36,27,24,12.96
31,34,27,27,11.13
30,33,26,27,13.3
26,30,21,27,11.16
29,32,25,26,12.5
23,27,18,0,0
31,35,27,28,13.23
24,31,17,28,9.56
22,27,17,30,11.56
21,25,15,29,7.76
23,30,16,28,9.36
19,26,13,29,13.73
20,29,10,29,9.03
42,48,35,30,4.56
40,48,32,23,2.36
47,52,42,35,9.76
46,51,40,34,5.76
44,50,38,33,5.43
43,49,36,34,5.56
40,50,31,23,4.13
37,46,27,29,5.96
33,41,24,28,9.26
29,38,20,28,8.13
33,41,24,27,8.63
35,45,23,28,7.5
26,36,16,28,5.5
36,43,29,28,9.03
23,29,16,22,18.86
